id;question;question_desc;question_type;active;last_modified;last_modified_by
1;quantify;compress Junctions;MULTISELECT;true;2022-02-01T00:26:47;withdrawal olive
2;maroon deposit;Facilitator silver;SINGLE;true;2022-01-31T13:37:04;Response
3;teal;Dynamic;SINGLE;true;2022-02-01T04:55:36;Account Iowa Implementation
4;HDD (Bouvetoya);content;FREETEXT;true;2022-02-01T03:14:09;Data Bedfordshire mission-critical
5;Junction;Carolina;MULTISELECT;false;2022-02-01T01:19:55;Rupee Paradigm AI
6;Account Borders;Soft virtual withdrawal;FREETEXT;true;2022-02-01T02:49:28;invoice
7;Directives compress haptic;Designer;SINGLE;true;2022-01-31T12:46:21;Rhode user-centric navigate
8;Forward networks real-time;COM;FREETEXT;false;2022-01-31T23:55:26;deposit
9;Shoes orchid Sausages;Virginia Shirt neural;SINGLE;false;2022-01-31T08:00:31;productize Facilitator Granite
10;Optimization Solutions;Metal payment Cuban;SINGLE;true;2022-01-31T18:57:26;Yemen Berkshire
